file,N,Kendall Tau Diameter Correlation,Kendall Tau Diameter Pvalue,SRCC Diameter,SRCC Diameter Pvalue,Zscore of latest sample Diameter,P of no change in mean Diameter,Kendall Tau Weight Correlation,Kendall Tau Weight Pvalue,SRCC Weight,SRCC Weight Pvalue,Zscore of latest sample Weight,P of no change in mean Weight,Kendall Tau IV Correlation,Kendall Tau IV Pvalue,SRCC IV,SRCC IV Pvalue,Zscore of latest sample IV,P of no change in mean IV
337.0,3.0,-0.33333333333333337,1.0,-0.5,0.6666666666666667,0.21155140093544736,0.832457027514319,0.33333333333333337,1.0,0.5,0.6666666666666667,1.3822523515108645,0.16689423075714105,-1.0,0.3333333333333333,-1.0,0.0,-0.8782376293585173,0.3798147752001919
338.0,3.0,1.0,0.3333333333333333,1.0,0.0,1.2973087246854915,0.194524983642411,0.33333333333333337,1.0,0.5,0.6666666666666667,2.5569075073367826,0.010560729357047233,-1.0,0.3333333333333333,-1.0,0.0,-1.7598811989654455,0.07842795171977517
339.0,3.0,0.33333333333333337,1.0,0.5,0.6666666666666667,-1.0912151812056903,0.2751782093627666,1.0,0.3333333333333333,1.0,0.0,2.5325238541309307,0.011324466423801848,-1.0,0.3333333333333333,-1.0,0.0,-1.6065852762366395,0.1081453745261567
340.0,3.0,0.33333333333333337,1.0,0.5,0.6666666666666667,4.365022371477583,1.2710974912888437e-05,,,,,,,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-1.226199372981714,0.22012365720421256
341.0,3.0,-0.33333333333333337,1.0,-0.5,0.6666666666666667,1.5132615840526986,0.13021322665373306,0.33333333333333337,1.0,0.5,0.6666666666666667,2.899058743610276,0.0037428476251936934,-1.0,0.3333333333333333,-1.0,0.0,-1.6269828470507184,0.10374074086592605
342.0,3.0,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-3.751489516543102,0.00017578710471680012,1.0,0.3333333333333333,1.0,0.0,0.43139106360103224,0.6661840465923856,-0.33333333333333337,1.0,-0.5,0.6666666666666667,0.26034972873025364,0.7945940167566123
343.0,3.0,0.33333333333333337,1.0,0.5,0.6666666666666667,-0.059476398260625965,0.9525726636509142,0.33333333333333337,1.0,0.5,0.6666666666666667,1.109381382927588,0.2672656902068501,-1.0,0.3333333333333333,-1.0,0.0,-0.4952210490627757,0.6204440939706183
344.0,3.0,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-2.929259465799318,0.003397706695827708,,,,,,,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-0.19763122103797376,0.8433336057084706
345.0,3.0,-1.0,0.3333333333333333,-1.0,0.0,-2.5244511323790535,0.011587911461973537,,,,,,,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-0.5941625539629305,0.5524033955160332
346.0,3.0,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-2.076429399490204,0.03785425450934055,,,,,,,-1.0,0.3333333333333333,-1.0,0.0,-0.4917371718111262,0.6229051567355548
347.0,3.0,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-0.7691895120818596,0.441780815614215,,,,,,,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-0.5384191175659447,0.5902877309056231
348.0,3.0,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-3.263846140232846,0.001099108350948408,,,,,,,-1.0,0.3333333333333333,-1.0,0.0,-1.042095878924961,0.2973672290394407
350.0,3.0,1.0,0.3333333333333333,1.0,0.0,4.187922182208101,2.8152000404634487e-05,1.0,0.3333333333333333,1.0,0.0,0.9050639130070592,0.365431528690356,0.33333333333333337,1.0,0.5,0.6666666666666667,0.3219149039043217,0.7475171620327237
354.0,3.0,0.33333333333333337,1.0,0.5,0.6666666666666667,2.925028278828165,0.0034442492253870887,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-0.6706645122736052,0.5024342750270403,0.33333333333333337,1.0,0.5,0.6666666666666667,1.1193068215074056,0.26300926665587043
355.0,3.0,0.33333333333333337,1.0,0.5,0.6666666666666667,0.17730693601606934,0.8592673029608219,-1.0,0.3333333333333333,-1.0,0.0,-2.0064187153637025,0.04481159318681585,-0.33333333333333337,1.0,-0.5,0.6666666666666667,0.03546096604989004,0.9717121713655069
356.0,3.0,0.33333333333333337,1.0,0.5,0.6666666666666667,-0.9185430263804557,0.35833464396248693,1.0,0.3333333333333333,1.0,0.0,0.29485483069139057,0.7681047785280831,-1.0,0.3333333333333333,-1.0,0.0,-0.30099417867824363,0.7634189335553143
357.0,3.0,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-2.6327533051577476,0.008469584052393914,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-1.3931937637098324,0.16356120509951977,0.33333333333333337,1.0,0.5,0.6666666666666667,0.4475577310213803,0.654472414503332
358.0,3.0,0.33333333333333337,1.0,0.5,0.6666666666666667,1.1374715937535884,0.2553411930084407,1.0,0.3333333333333333,1.0,0.0,0.8302438211540434,0.40640094381569214,0.33333333333333337,1.0,0.5,0.6666666666666667,0.5115190107196362,0.6089876800736946
359.0,3.0,-0.33333333333333337,1.0,-0.5,0.6666666666666667,0.32384566590314606,0.7460548812275714,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-1.999426725726425,0.04556220265829516,-1.0,0.3333333333333333,-1.0,0.0,-0.5154073429270432,0.6062684023732351
